Initial_Speed,Final_Speed,Speed_Change,Car_Type,Weather,Location,Observer,Date,Source
25,27,-2,Truck,,,,,cars_count.xlsx
28,30,-2,Suv,,,,,cars_count.xlsx
30,31,-1,Sedan,,,,,cars_count.xlsx
35,37,-2,Suv,,,,,cars_count.xlsx
32,33,-1,Suv,,,,,cars_count.xlsx
25,27,-2,Suv,,,,,cars_count.xlsx
26,26,0,Suv,,,,,cars_count.xlsx
28,30,-2,Suv,,,,,cars_count.xlsx
27,32,-5,Suv,,,,,cars_count.xlsx
,31,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,32,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,30,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,30,,SUV ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,Van ,,,Diya,2025-04-07,Car Data Collection.csv
,20,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,29,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,27,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,34,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,33,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,21,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,30,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,36,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,33,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,21,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,26,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,10,,SUV ,,,Diya,2025-04-07,Car Data Collection.csv
,30,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,35,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,21,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,26,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,18,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,16,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,13,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,30,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,29,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,29,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,29,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,37,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,26,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,25,,SUV ,,,Diya,2025-04-07,Car Data Collection.csv
,32,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,32,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,32,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,32,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,29,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,29,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,28,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,27,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,28,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,34,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,31,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,25,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,36,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,33,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,33,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,29,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,32,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,29,,Van ,,,Diya,2025-04-07,Car Data Collection.csv
,18,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,33,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,33,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,32,,SUV ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,32,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,32,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,32,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,33,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,33,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,32,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,29,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,28,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,31,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,30,,SUV,,,Diya,2025-04-07,Car Data Collection.csv
,30,,Truck ,,,Diya,2025-04-07,Car Data Collection.csv
,29,,Sedan ,,,Diya,2025-04-07,Car Data Collection.csv
,39,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,29,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,37,,Van,,,Tommy,2025-04-09,Car Data Collection.csv
,33,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,33,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,21,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,33,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,31,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,37,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,29,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,30,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,31,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,39,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,32,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,30,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,30,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,30,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,36,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,33,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,24,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,26,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,32,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,35,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,37,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,37,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,31,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,31,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,28,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,30,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,30,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,32,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,38,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,31,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,30,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,36,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
